Design file Name,L (mm),Type,Material,Shape,h (mm),w (mm),F (N),V (mm^3),Deflection (mm),Allowable_Def (mm) L/240,Def_Ratio %,Status,Reason
1000_Beam_Concrete_Rectangular_200_150_10000.json,1000,Beam,Concrete,Rectangular,200,150,10000,30000000,0,4,2,PASS, Deflection: 0 mm < Allowable Deflection = 4 mm
1000_Beam_Steel_IPE_80_46_10000.json,1000,Beam,Steel,IPE,80,46,10000,764000,1,4,31,PASS, Deflection: 1 mm < Allowable Deflection = 4 mm
1000_Beam_Wood_Rectangular_110_50_10000.json,1000,Beam,Wood,Rectangular,110,50,10000,5500000,4,4,90,PASS, Deflection: 4 mm < Allowable Deflection = 4 mm
1500_Beam_Concrete_Rectangular_200_150_10000.json,1500,Beam,Concrete,Rectangular,200,150,10000,45000000,0,6,4,PASS, Deflection: 0 mm < Allowable Deflection = 6 mm
1500_Beam_Steel_IPE_80_46_10000.json,1500,Beam,Steel,IPE,80,46,10000,1146000,4,6,70,PASS, Deflection: 4 mm < Allowable Deflection = 6 mm
1500_Beam_Wood_Rectangular_140_50_10000.json,1500,Beam,Wood,Rectangular,140,50,10000,10500000,6,6,98,PASS, Deflection: 6 mm < Allowable Deflection = 6 mm
2000_Beam_Concrete_Rectangular_200_150_10000.json,2000,Beam,Concrete,Rectangular,200,150,10000,60000000,1,8,8,PASS, Deflection: 1 mm < Allowable Deflection = 8 mm
2000_Beam_Steel_IPE_100_55_10000.json,2000,Beam,Steel,IPE,100,55,10000,2060000,5,8,58,PASS, Deflection: 5 mm < Allowable Deflection = 8 mm
2000_Beam_Wood_Rectangular_170_50_10000.json,2000,Beam,Wood,Rectangular,170,50,10000,17000000,8,8,98,PASS, Deflection: 8 mm < Allowable Deflection = 8 mm
2500_Beam_Concrete_Rectangular_200_150_10000.json,2500,Beam,Concrete,Rectangular,200,150,10000,75000000,1,10,12,PASS, Deflection: 1 mm < Allowable Deflection = 10 mm
